"","x"
"1","Udaipur"
"2","Shimoga"
"3","Dharamshala"
"4","Samode"
"5","Chikmagalur"
"6","Silchar"
"7","Varanasi"
"8","Dapoli"
"9","Nainital"
"10","Indore"
"11","Palampur"
"12","MountAbu"
"13","Tirupati"
"14","Lachung"
"15","Satna"
"16","Guwahati"
"17","Gwalior"
"18","DEOGHAR"
"19","Kohima"
"20","Azamgarh"
"21","Kashid"
"22","Dharwad"
"23","NubraValley"
"24","Dwarika"
"25","WeekendGetawaysAroundHyderabad"
"26","Uttarkashi"
"27","Muvattupuzha"
"28","Yavatmal"
"29","Lalitpur"
"30","Valsad"
"31","Kollam"
"32","Madhupur"
"33","Washim"
"34","Patiala"
"35","Baharampur"
"36","Khandwa"
"37","NewTehri"
"38","Idduki"
"39","Hassan"
"40","Saputara"
"41","Kashipur"
"42","Churu"
"43","Madurai"
"44","Ambaji"
"45","Firozabad"
"46","Balasore"
"47","Goa"
"48","Bangalore"
"49","Kodaikanal"
"50","Kolkata"
"51","Mahabalipuram"
"52","Malvan"
"53","Manali"
"54","Malappuram"
"55","Malda"
"56","Malerkotla"
"57","Coorg"
"58","LonavalaAndKhandala"
"59","WeekendGetawaysAroundMumbai"
"60","Chennai"
"61","Alwar"
"62","Katihar"
"63","Mandi"
"64","Guruvayoor"
"65","Guhagar"
"66","Gaya"
"67","Ganpatipule"
"68","Nellore"
"69","Chandigarh"
"70","Kottayam"
"71","Sirsa"
"72","Bhusawal"
"73","Bareilley"
"74","EastSikkim"
"75","Roorkee"
"76","Kabini"
"77","Mirik"
"78","Joshimath"
"79","Bhimtal"
"80","Rajahmundry"
"81","Shahdol"
"82","Kalpa"
"83","Mayiladuthurai"
"84","Nagaur"
"85","Ramgarh"
"86","Hosur"
"87","Cochin"
"88","Rewa"
"89","Vapi"
"90","Beawar"
"91","Jammu"
"92","Wardha"
"93","Corbett"
"94","Medinipur"
"95","Pali"
"96","Shirdi"
"97","Mahabaleshwar"
"98","Kanyakumari"
"99","Sakleshpur"
"100","Mandawa"
"101","Solan"
"102","Barog"
"103","Vagamon"
"104","Dahej"
"105","Jawalamukhi"
"106","Chikhaldara"
"107","Tirupur"
"108","Amravati"
"109","Kharagpur"
"110","Nadiad"
"111","Dimapur"
"112","Panchgani"
"113","Salem"
"114","Agartala"
"115","Jhansi"
"116","Sangla"
"117","Sanchore"
"118","Daksum"
"119","Yelagiri"
"120","Rishikesh"
"121","Satara"
"122","Ranthambhore"
"123","SasanGir"
"124","Ranikhet"
"125","Rajsamand"
"126","Rajkot"
"127","Rajgir"
"128","Sambalpur"
"129","Ratnagiri"
"130","Rajgarh"
"131","Ranchi"
"132","Rampur"
"133","Rudrapur"
"134","Pune"
"135","Raipur"
"136","Puri"
"137","Rameshwaram"
"138","PortBlair"
"139","Cuttack"
"140","Chandrapur"
"141","Darjeeling"
"142","Coimbatore"
"143","Dalhousie"
"144","Dandeli"
"145","Coonoor"
"146","Chamoli"
